YEAR,LocationAbbr,TopicDesc,MeasureDesc,Response,Resposta,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Education,GeoLocation,StratificationID1,StratificationID4,SubMeasureID,DisplayOrder
2007,VA,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Male,Middle School,"(37.542680674, -78.457890463)",2GEN,1EDU,YTS02,2
2010,NJ,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,51.1,4.9,41.4,60.8,126,Male,High School,"(40.130570048, -74.273691288)",2GEN,2EDU,YTS02,2
2004,MS,Cigarette Use (Youth),Smoking Status,Frequent,3.2,0.4,2.5,4.0,1355,Male,Middle School,"(32.745510099, -89.538030825)",2GEN,1EDU,YTS09,9
2002,WI,Smokeless Tobacco Use (Youth),User Status,Frequent,0.0,0.0,0.0,0.0,712,Female,High School,"(44.393191174, -89.816370742)",3GEN,2EDU,YTS12,12
2007,CT,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,54.3,3.7,47.1,61.5,278,Overall,High School,"(41.56266102, -72.649840952)",1GEN,2EDU,YTS04,4
2016,OK,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,46.7,5.3,36.3,57.0,86,Overall,Middle School,"(35.472031356, -97.521070214)",1GEN,1EDU,YTS01,1
2009,ND,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Male,Middle School,"(47.475319779, -100.118421049)",2GEN,1EDU,YTS02,2
2010,DE,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,44.6,7.4,30.1,59.1,58,Male,Middle School,"(39.008830667, -75.577741168)",2GEN,1EDU,YTS02,2
2008,PA,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,,,,,,Male,Middle School,"(40.793730152, -77.860700294)",2GEN,1EDU,YTS05,5
2013,CT,Smokeless Tobacco Use (Youth),User Status,Current,0.1,0.1,0.0,0.3,1434,Female,Middle School,"(41.56266102, -72.649840952)",3GEN,1EDU,YTS10,10
2004,IN,Cigarette Use (Youth),Smoking Status,Current,5.7,0.9,3.9,7.4,978,Male,Middle School,"(39.766910452, -86.149960194)",2GEN,1EDU,YTS07,7
2014,PA,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Male,Middle School,"(40.793730152, -77.860700294)",2GEN,1EDU,YTS02,2
2008,LA,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,55.9,8.9,38.4,73.4,67,Male,Middle School,"(31.312660644, -92.445680071)",2GEN,1EDU,YTS02,2
2005,RI,Cigarette Use (Youth),Smoking Status,Ever,17.5,1.3,15.0,20.0,1124,Male,Middle School,"(41.708280193, -71.522470314)",2GEN,1EDU,YTS08,8
2005,CT,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Female,Middle School,"(41.56266102, -72.649840952)",3GEN,1EDU,YTS03,3
2008,LA,Cigarette Use (Youth),Smoking Status,Frequent,7.4,1.6,4.3,10.5,588,Male,High School,"(31.312660644, -92.445680071)",2GEN,2EDU,YTS09,9
2011,WV,Cigarette Use (Youth),Smoking Status,Frequent,2.2,0.4,1.4,3.0,1854,Overall,Middle School,"(38.665510202, -80.712640135)",1GEN,1EDU,YTS09,9
2015,MS,Smokeless Tobacco Use (Youth),User Status,Current,13.9,1.7,10.6,17.2,783,Male,High School,"(32.745510099, -89.538030825)",2GEN,2EDU,YTS10,10
2000,AZ,Smokeless Tobacco Use (Youth),User Status,Current,3.0,1.1,0.9,5.1,1016,Female,Middle School,"(34.86597028, -111.763811277)",3GEN,1EDU,YTS10,10
2006,KY,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,57.1,2.7,51.9,62.3,702,Overall,High School,"(37.645970271, -84.774971048)",1GEN,2EDU,YTS04,4
2008,PA,Smokeless Tobacco Use (Youth),User Status,Ever,26.1,2.0,22.2,30.0,1207,Male,High School,"(40.793730152, -77.860700294)",2GEN,2EDU,YTS11,11
2002,MS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,64.6,3.5,57.6,71.5,177,Female,High School,"(32.745510099, -89.538030825)",3GEN,2EDU,YTS03,3
2000,ME,Cigarette Use (Youth),Smoking Status,Current,14.5,2.0,10.7,18.4,1321,Overall,Middle School,"(45.254228894001, -68.985031336)",1GEN,1EDU,YTS07,7
2000,WV,Smokeless Tobacco Use (Youth),User Status,Frequent,4.8,1.1,2.7,6.8,853,Male,Middle School,"(38.665510202, -80.712640135)",2GEN,1EDU,YTS12,12
2003,MO,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Female,Middle School,"(38.635790776, -92.566300053)",3GEN,1EDU,YTS03,3
2015,GA,Smokeless Tobacco Use (Youth),User Status,Current,8.2,1.0,6.3,10.1,1382,Overall,High School,"(32.839681093, -83.627580346)",1GEN,2EDU,YTS10,10
2015,WV,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,37.2,3.5,30.2,44.2,201,Overall,High School,"(38.665510202, -80.712640135)",1GEN,2EDU,YTS01,1
2012,WI,Cigarette Use (Youth),Smoking Status,Ever,10.6,1.4,7.9,13.3,859,Female,Middle School,"(44.393191174, -89.816370742)",3GEN,1EDU,YTS08,8
2000,IN,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,55.2,4.0,47.4,63.0,122,Overall,Middle School,"(39.766910452, -86.149960194)",1GEN,1EDU,YTS01,1
2013,WV,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,65.3,2.8,59.8,70.8,271,Overall,High School,"(38.665510202, -80.712640135)",1GEN,2EDU,YTS04,4
2015,ND,Smokeless Tobacco Use (Youth),User Status,Current,8.4,0.9,6.6,10.2,1862,Overall,High School,"(47.475319779, -100.118421049)",1GEN,2EDU,YTS10,10
2005,UT,Smokeless Tobacco Use (Youth),User Status,Frequent,0.6,0.3,0.1,1.1,1464,Overall,Middle School,"(39.360700171, -111.587130635)",1GEN,1EDU,YTS12,12
2002,CT,Cigarette Use (Youth),Smoking Status,Ever,22.5,2.2,18.2,26.9,1276,Female,Middle School,"(41.56266102, -72.649840952)",3GEN,1EDU,YTS08,8
2009,KS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Male,Middle School,"(38.3477403, -98.200781227)",2GEN,1EDU,YTS02,2
2013,MO,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,43.1,4.9,33.5,52.7,67,Overall,Middle School,"(38.635790776, -92.566300053)",1GEN,1EDU,YTS01,1
2010,MS,Cigarette Use (Youth),Smoking Status,Ever,23.9,1.7,20.6,27.2,1569,Overall,Middle School,"(32.745510099, -89.538030825)",1GEN,1EDU,YTS08,8
2002,NC,Smokeless Tobacco Use (Youth),User Status,Current,15.2,1.3,12.6,17.8,2510,Male,High School,"(35.466220975, -79.159250463)",2GEN,2EDU,YTS10,10
2014,NE,Cigarette Use (Youth),Smoking Status,Frequent,3.7,0.6,2.5,4.8,2310,Overall,High School,"(41.641040988001, -99.365720623)",1GEN,2EDU,YTS09,9
2006,IL,Cigarette Use (Youth),Smoking Status,Ever,50.6,4.4,42.0,59.2,574,Male,High School,"(40.485010283, -88.997710178)",2GEN,2EDU,YTS08,8
2013,MS,Smokeless Tobacco Use (Youth),User Status,Ever,25.3,2.8,19.8,30.8,699,Male,High School,"(32.745510099, -89.538030825)",2GEN,2EDU,YTS11,11
2002,CT,Smokeless Tobacco Use (Youth),User Status,Ever,12.5,1.1,10.4,14.7,3096,Overall,High School,"(41.56266102, -72.649840952)",1GEN,2EDU,YTS11,11
2013,CT,Smokeless Tobacco Use (Youth),User Status,Frequent,0.4,0.3,0.0,1.0,2907,Overall,Middle School,"(41.56266102, -72.649840952)",1GEN,1EDU,YTS12,12
2013,WV,Cigarette Use (Youth),Smoking Status,Ever,44.1,2.4,39.3,48.9,777,Female,High School,"(38.665510202, -80.712640135)",3GEN,2EDU,YTS08,8
2002,CT,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Male,Middle School,"(41.56266102, -72.649840952)",2GEN,1EDU,YTS02,2
2006,IN,Smokeless Tobacco Use (Youth),User Status,Ever,4.4,0.8,2.8,6.0,1757,Female,Middle School,"(39.766910452, -86.149960194)",3GEN,1EDU,YTS11,11
2000,TN,Cigarette Use (Youth),Smoking Status,Frequent,17.7,1.2,15.4,20.1,4621,Male,High School,"(35.68094058, -85.774490914)",2GEN,2EDU,YTS09,9
2005,AR,Smokeless Tobacco Use (Youth),User Status,Current,19.5,1.9,15.9,23.2,946,Male,High School,"(34.748650124, -92.274490743)",2GEN,2EDU,YTS10,10
2007,SC,Smokeless Tobacco Use (Youth),User Status,Ever,13.5,1.0,11.6,15.4,1283,Overall,Middle School,"(33.998821303, -81.045371207)",1GEN,1EDU,YTS11,11
2006,PA,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,51.4,3.0,45.6,57.2,262,Overall,High School,"(40.793730152, -77.860700294)",1GEN,2EDU,YTS04,4
2002,MS,Smokeless Tobacco Use (Youth),User Status,Frequent,2.1,0.4,1.3,2.8,2744,Overall,Middle School,"(32.745510099, -89.538030825)",1GEN,1EDU,YTS12,12
2000,CO,Cigarette Use (Youth),Smoking Status,Current,8.8,1.4,6.0,11.6,1441,Overall,Middle School,"(38.843840757, -106.133610921)",1GEN,1EDU,YTS07,7
2010,MS,Smokeless Tobacco Use (Youth),User Status,Ever,16.8,2.5,11.9,21.7,814,Male,Middle School,"(32.745510099, -89.538030825)",2GEN,1EDU,YTS11,11
2014,MN,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Female,Middle School,"(46.355648736, -94.794200503)",3GEN,1EDU,YTS03,3
2016,OK,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,44.6,8.2,28.5,60.7,56,Female,Middle School,"(35.472031356, -97.521070214)",3GEN,1EDU,YTS03,3
2009,LA,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,48.7,7.5,34.0,63.4,53,Male,Middle School,"(31.312660644, -92.445680071)",2GEN,1EDU,YTS02,2
2013,NC,Smokeless Tobacco Use (Youth),User Status,Current,1.7,0.2,1.3,2.1,2178,Female,High School,"(35.466220975, -79.159250463)",3GEN,2EDU,YTS10,10
2000,WI,Smokeless Tobacco Use (Youth),User Status,Current,5.9,0.9,4.2,7.6,689,Male,Middle School,"(44.393191174, -89.816370742)",2GEN,1EDU,YTS10,10
2000,ME,Smokeless Tobacco Use (Youth),User Status,Ever,6.6,1.2,4.2,8.9,1287,Overall,Middle School,"(45.254228894001, -68.985031336)",1GEN,1EDU,YTS11,11
2000,WI,Cigarette Use (Youth),Smoking Status,Current,31.0,2.1,26.9,35.0,613,Male,High School,"(44.393191174, -89.816370742)",2GEN,2EDU,YTS07,7
2005,AZ,Cigarette Use (Youth),Smoking Status,Frequent,5.3,0.6,4.2,6.4,1899,Overall,High School,"(34.86597028, -111.763811277)",1GEN,2EDU,YTS09,9
2009,CT,Smokeless Tobacco Use (Youth),User Status,Current,1.9,0.6,0.8,3.0,1143,Male,Middle School,"(41.56266102, -72.649840952)",2GEN,1EDU,YTS10,10
2001,NJ,Smokeless Tobacco Use (Youth),User Status,Frequent,1.2,0.3,0.7,1.8,3821,Overall,High School,"(40.130570048, -74.273691288)",1GEN,2EDU,YTS12,12
2007,CT,Cigarette Use (Youth),Smoking Status,Current,16.9,1.2,14.6,19.2,1959,Overall,High School,"(41.56266102, -72.649840952)",1GEN,2EDU,YTS07,7
2001,NH,Smokeless Tobacco Use (Youth),User Status,Current,7.8,1.3,5.2,10.4,704,Male,High School,"(43.655950113, -71.50036092)",2GEN,2EDU,YTS10,10
2008,IN,Smokeless Tobacco Use (Youth),User Status,Frequent,0.6,0.2,0.2,1.0,3295,Overall,Middle School,"(39.766910452, -86.149960194)",1GEN,1EDU,YTS12,12
2002,VT,Cigarette Use (Youth),Smoking Status,Ever,28.8,2.5,23.9,33.6,2221,Female,Middle School,"(43.625381239, -72.517640791)",3GEN,1EDU,YTS08,8
2013,OK,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,63.8,7.8,48.6,79.0,55,Female,Middle School,"(35.472031356, -97.521070214)",3GEN,1EDU,YTS06,6
2014,MS,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,,,,,,Female,Middle School,"(32.745510099, -89.538030825)",3GEN,1EDU,YTS06,6
2006,SC,Smokeless Tobacco Use (Youth),User Status,Frequent,0.2,0.2,0.0,0.5,722,Female,High School,"(33.998821303, -81.045371207)",3GEN,2EDU,YTS12,12
2005,RI,Cigarette Use (Youth),Smoking Status,Ever,45.5,1.6,42.3,48.8,1081,Male,High School,"(41.708280193, -71.522470314)",2GEN,2EDU,YTS08,8
2011,MO,Cigarette Use (Youth),Smoking Status,Current,19.7,2.2,15.4,24.0,821,Male,High School,"(38.635790776, -92.566300053)",2GEN,2EDU,YTS07,7
2002,WV,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,59.0,1.6,55.9,62.1,726,Female,Middle School,"(38.665510202, -80.712640135)",3GEN,1EDU,YTS06,6
2002,PA,Cigarette Use (Youth),Smoking Status,Current,22.4,1.3,19.9,24.9,4946,Male,High School,"(40.793730152, -77.860700294)",2GEN,2EDU,YTS07,7
2012,WI,Smokeless Tobacco Use (Youth),User Status,Current,5.8,0.7,4.4,7.2,1519,Overall,High School,"(44.393191174, -89.816370742)",1GEN,2EDU,YTS10,10
2012,DE,Smokeless Tobacco Use (Youth),User Status,Frequent,1.9,0.4,1.1,2.7,1073,Male,High School,"(39.008830667, -75.577741168)",2GEN,2EDU,YTS12,12
2006,WI,Smokeless Tobacco Use (Youth),User Status,Frequent,4.2,1.0,2.3,6.1,868,Male,High School,"(44.393191174, -89.816370742)",2GEN,2EDU,YTS12,12
2000,KS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,34.7,7.2,20.6,48.7,52,Female,Middle School,"(38.3477403, -98.200781227)",3GEN,1EDU,YTS03,3
1999,MS,Smokeless Tobacco Use (Youth),User Status,Frequent,2.5,0.5,1.5,3.5,914,Male,Middle School,"(32.745510099, -89.538030825)",2GEN,1EDU,YTS12,12
2002,NE,Smokeless Tobacco Use (Youth),User Status,Current,4.4,0.9,2.6,6.2,1334,Male,Middle School,"(41.641040988001, -99.365720623)",2GEN,1EDU,YTS10,10
2004,NM,Smokeless Tobacco Use (Youth),User Status,Ever,12.7,1.4,10.0,15.5,1719,Overall,Middle School,"(34.520880952, -106.240580985)",1GEN,1EDU,YTS11,11
2009,KS,Smokeless Tobacco Use (Youth),User Status,Frequent,1.0,0.6,0.0,2.2,434,Male,Middle School,"(38.3477403, -98.200781227)",2GEN,1EDU,YTS12,12
1999,NC,Smokeless Tobacco Use (Youth),User Status,Ever,18.4,1.1,16.3,20.5,2780,Male,Middle School,"(35.466220975, -79.159250463)",2GEN,1EDU,YTS11,11
2002,MN,Cigarette Use (Youth),Smoking Status,Current,6.4,0.8,4.8,8.0,2295,Male,Middle School,"(46.355648736, -94.794200503)",2GEN,1EDU,YTS07,7
2008,AL,Cigarette Use (Youth),Smoking Status,Ever,31.9,2.9,26.3,37.5,972,Overall,Middle School,"(32.840571122, -86.631860762)",1GEN,1EDU,YTS08,8
2008,PA,Cigarette Use (Youth),Smoking Status,Ever,13.8,1.2,11.5,16.1,1133,Female,Middle School,"(40.793730152, -77.860700294)",3GEN,1EDU,YTS08,8
2014,AL,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,66.9,5.9,55.2,78.5,85,Overall,Middle School,"(32.840571122, -86.631860762)",1GEN,1EDU,YTS04,4
2010,MS,Smokeless Tobacco Use (Youth),User Status,Current,2.5,0.7,1.1,3.9,773,Female,Middle School,"(32.745510099, -89.538030825)",3GEN,1EDU,YTS10,10
2006,SC,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,60.7,6.1,48.7,72.7,89,Female,High School,"(33.998821303, -81.045371207)",3GEN,2EDU,YTS03,3
2003,WI,Smokeless Tobacco Use (Youth),User Status,Ever,13.2,1.3,10.6,15.8,922,Male,Middle School,"(44.393191174, -89.816370742)",2GEN,1EDU,YTS11,11
2007,MI,Smokeless Tobacco Use (Youth),User Status,Current,8.7,1.1,6.5,10.9,2604,Overall,High School,"(44.661319543001, -84.71439027)",1GEN,2EDU,YTS10,10
2004,WI,Smokeless Tobacco Use (Youth),User Status,Current,1.5,0.5,0.4,2.5,797,Female,Middle School,"(44.393191174, -89.816370742)",3GEN,1EDU,YTS10,10
2007,WV,Cigarette Use (Youth),Smoking Status,Current,28.8,2.4,24.1,33.5,1154,Overall,High School,"(38.665510202, -80.712640135)",1GEN,2EDU,YTS07,7
2000,KS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,49.9,2.6,44.7,55.0,322,Overall,High School,"(38.3477403, -98.200781227)",1GEN,2EDU,YTS01,1
2007,CT,Cigarette Use (Youth),Smoking Status,Current,3.0,0.8,1.5,4.5,1112,Female,Middle School,"(41.56266102, -72.649840952)",3GEN,1EDU,YTS07,7
2011,HI,Smokeless Tobacco Use (Youth),User Status,Ever,2.5,0.6,1.3,3.7,833,Female,Middle School,"(21.304850435, -157.857749403)",3GEN,1EDU,YTS11,11
2016,OK,Cigarette Use (Youth),Smoking Status,Ever,20.0,2.3,15.5,24.6,1148,Male,Middle School,"(35.472031356, -97.521070214)",2GEN,1EDU,YTS08,8
2005,MO,Smokeless Tobacco Use (Youth),User Status,Frequent,0.9,0.3,0.3,1.5,1694,Overall,Middle School,"(38.635790776, -92.566300053)",1GEN,1EDU,YTS12,12
2000,NY,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,75.1,3.1,69.0,81.2,292,Male,High School,"(42.827001032, -75.543970427)",2GEN,2EDU,YTS05,5
2000,KY,Smokeless Tobacco Use (Youth),User Status,Current,2.2,0.6,0.9,3.4,607,Female,High School,"(37.645970271, -84.774971048)",3GEN,2EDU,YTS10,10
2008,PA,Cigarette Use (Youth),Smoking Status,Ever,42.6,2.2,38.2,47.0,1214,Male,High School,"(40.793730152, -77.860700294)",2GEN,2EDU,YTS08,8
2007,UT,Cigarette Use (Youth),Smoking Status,Frequent,4.1,0.6,2.9,5.3,1988,Male,High School,"(39.360700171, -111.587130635)",2GEN,2EDU,YTS09,9
1999,AR,Smokeless Tobacco Use (Youth),User Status,Ever,27.3,2.4,22.5,32.1,406,Overall,Middle School,"(34.748650124, -92.274490743)",1GEN,1EDU,YTS11,11
2002,CT,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,50.3,5.6,39.3,61.3,113,Overall,Middle School,"(41.56266102, -72.649840952)",1GEN,1EDU,YTS01,1
2000,KS,Smokeless Tobacco Use (Youth),User Status,Frequent,5.7,1.4,3.0,8.5,779,Male,High School,"(38.3477403, -98.200781227)",2GEN,2EDU,YTS12,12
2003,MS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,50.1,2.5,45.2,55.0,869,Overall,Middle School,"(32.745510099, -89.538030825)",1GEN,1EDU,YTS01,1
2002,TN,Smokeless Tobacco Use (Youth),User Status,Frequent,9.1,1.0,7.2,11.0,3835,Male,High School,"(35.68094058, -85.774490914)",2GEN,2EDU,YTS12,12
2015,AZ,Smokeless Tobacco Use (Youth),User Status,Ever,4.4,1.0,2.4,6.5,697,Male,Middle School,"(34.86597028, -111.763811277)",2GEN,1EDU,YTS11,11
2004,NC,Smokeless Tobacco Use (Youth),User Status,Current,1.5,0.4,0.8,2.3,1501,Female,Middle School,"(35.466220975, -79.159250463)",3GEN,1EDU,YTS10,10
2016,MS,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,70.7,2.9,65.0,76.5,94,Male,High School,"(32.745510099, -89.538030825)",2GEN,2EDU,YTS05,5
2003,MS,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,48.7,3.3,42.2,55.2,463,Male,Middle School,"(32.745510099, -89.538030825)",2GEN,1EDU,YTS02,2
2011,GA,Smokeless Tobacco Use (Youth),User Status,Ever,28.7,2.5,23.8,33.6,915,Male,High School,"(32.839681093, -83.627580346)",2GEN,2EDU,YTS11,11
2013,ND,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,48.9,3.7,41.7,56.1,239,Overall,High School,"(47.475319779, -100.118421049)",1GEN,2EDU,YTS01,1
2010,AR,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,46.2,6.3,33.9,58.5,78,Male,Middle School,"(34.748650124, -92.274490743)",2GEN,1EDU,YTS02,2
2005,SC,Smokeless Tobacco Use (Youth),User Status,Frequent,0.7,0.4,0.0,1.6,615,Female,Middle School,"(33.998821303, -81.045371207)",3GEN,1EDU,YTS12,12
2010,IN,Cigarette Use (Youth),Smoking Status,Frequent,1.1,0.3,0.6,1.6,1002,Male,Middle School,"(39.766910452, -86.149960194)",2GEN,1EDU,YTS09,9
2006,IL,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,40.9,5.5,30.1,51.7,93,Male,High School,"(40.485010283, -88.997710178)",2GEN,2EDU,YTS02,2
2010,IL,Cigarette Use (Youth),Smoking Status,Current,4.8,1.0,2.8,6.8,1373,Overall,Middle School,"(40.485010283, -88.997710178)",1GEN,1EDU,YTS07,7
2005,CT,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,53.3,5.4,42.8,63.8,89,Overall,Middle School,"(41.56266102, -72.649840952)",1GEN,1EDU,YTS01,1
2013,CT,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,,,,,,Female,Middle School,"(41.56266102, -72.649840952)",3GEN,1EDU,YTS06,6
2000,AR,Cigarette Use (Youth),Smoking Status,Current,35.8,2.4,31.2,40.5,1339,Overall,High School,"(34.748650124, -92.274490743)",1GEN,2EDU,YTS07,7
2009,SC,Cigarette Use (Youth),Smoking Status,Current,9.1,1.3,6.6,11.6,659,Male,Middle School,"(33.998821303, -81.045371207)",2GEN,1EDU,YTS07,7
2013,SC,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,57.6,2.9,51.9,63.3,211,Overall,High School,"(33.998821303, -81.045371207)",1GEN,2EDU,YTS04,4
2005,UT,Smokeless Tobacco Use (Youth),User Status,Frequent,0.3,0.2,0.0,0.7,741,Female,Middle School,"(39.360700171, -111.587130635)",3GEN,1EDU,YTS12,12
2003,UT,Cigarette Use (Youth),Smoking Status,Current,7.4,1.8,3.8,11.0,1220,Female,High School,"(39.360700171, -111.587130635)",3GEN,2EDU,YTS07,7
2007,SD,Cigarette Use (Youth),Smoking Status,Current,4.8,1.0,2.9,6.7,1345,Male,Middle School,"(44.353130053, -100.373530637)",2GEN,1EDU,YTS07,7
2000,MN,Smokeless Tobacco Use (Youth),User Status,Current,3.3,0.5,2.4,4.3,2345,Male,Middle School,"(46.355648736, -94.794200503)",2GEN,1EDU,YTS10,10
2013,NC,Cigarette Use (Youth),Smoking Status,Ever,13.1,1.0,11.2,15.0,3657,Overall,Middle School,"(35.466220975, -79.159250463)",1GEN,1EDU,YTS08,8
2015,NE,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,44.0,7.3,29.6,58.3,86,Male,High School,"(41.641040988001, -99.365720623)",2GEN,2EDU,YTS02,2
2002,KS,Cigarette Use (Youth),Smoking Status,Current,5.7,0.9,3.9,7.6,1414,Overall,Middle School,"(38.3477403, -98.200781227)",1GEN,1EDU,YTS07,7
2010,AR,Smokeless Tobacco Use (Youth),User Status,Ever,11.8,1.6,8.7,14.9,1103,Female,High School,"(34.748650124, -92.274490743)",3GEN,2EDU,YTS11,11
2008,OH,Smokeless Tobacco Use (Youth),User Status,Ever,9.9,1.4,7.2,12.6,675,Female,High School,"(40.060210141, -82.404260056)",3GEN,2EDU,YTS11,11
2004,AL,Cigarette Use (Youth),Smoking Status,Current,13.1,1.8,9.6,16.5,1362,Overall,Middle School,"(32.840571122, -86.631860762)",1GEN,1EDU,YTS07,7
2001,PA,Smokeless Tobacco Use (Youth),User Status,Current,1.3,0.2,0.8,1.8,4212,Female,High School,"(40.793730152, -77.860700294)",3GEN,2EDU,YTS10,10
2007,AZ,Smokeless Tobacco Use (Youth),User Status,Ever,15.1,1.5,12.2,18.0,1712,Overall,High School,"(34.86597028, -111.763811277)",1GEN,2EDU,YTS11,11
2002,OK,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,57.1,4.7,48.0,66.3,174,Female,High School,"(35.472031356, -97.521070214)",3GEN,2EDU,YTS03,3
2009,CT,Smokeless Tobacco Use (Youth),User Status,Frequent,0.1,0.2,0.0,0.4,1150,Female,High School,"(41.56266102, -72.649840952)",3GEN,2EDU,YTS12,12
2015,IL,Cigarette Use (Youth),Smoking Status,Frequent,0.2,0.1,0.0,0.5,1143,Female,Middle School,"(40.485010283, -88.997710178)",3GEN,1EDU,YTS09,9
2011,LA,Smokeless Tobacco Use (Youth),User Status,Current,4.8,0.6,3.7,5.9,1344,Overall,Middle School,"(31.312660644, -92.445680071)",1GEN,1EDU,YTS10,10
2016,DE,Cigarette Use (Youth),Smoking Status,Ever,29.7,2.4,25.0,34.4,1142,Male,High School,"(39.008830667, -75.577741168)",2GEN,2EDU,YTS08,8
2014,NJ,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,63.7,2.4,59.1,68.3,259,Overall,High School,"(40.130570048, -74.273691288)",1GEN,2EDU,YTS04,4
2000,DE,Smokeless Tobacco Use (Youth),User Status,Frequent,1.0,0.2,0.5,1.5,2205,Male,Middle School,"(39.008830667, -75.577741168)",2GEN,1EDU,YTS12,12
2007,UT,Cessation (Youth),Percent of Current Smokers Who Want to Quit,,,,,,,Overall,Middle School,"(39.360700171, -111.587130635)",1GEN,1EDU,YTS01,1
2000,MS,Cigarette Use (Youth),Smoking Status,Frequent,15.1,1.7,11.8,18.4,754,Male,High School,"(32.745510099, -89.538030825)",2GEN,2EDU,YTS09,9
2001,MI,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,56.7,4.1,48.5,64.8,77,Male,Middle School,"(44.661319543001, -84.71439027)",2GEN,1EDU,YTS05,5
2009,MO,Smokeless Tobacco Use (Youth),User Status,Ever,21.7,3.0,15.8,27.6,1502,Overall,High School,"(38.635790776, -92.566300053)",1GEN,2EDU,YTS11,11
2002,MD,Cigarette Use (Youth),Smoking Status,Ever,51.6,0.6,50.4,52.8,17074,Male,High School,"(39.290580964, -76.609260111)",2GEN,2EDU,YTS08,8
2015,HI,Smokeless Tobacco Use (Youth),User Status,Frequent,0.6,0.3,0.0,1.2,944,Female,High School,"(21.304850435, -157.857749403)",3GEN,2EDU,YTS12,12
2015,PA,Smokeless Tobacco Use (Youth),User Status,Frequent,4.9,0.9,3.1,6.7,1039,Male,High School,"(40.793730152, -77.860700294)",2GEN,2EDU,YTS12,12
2000,DC,Smokeless Tobacco Use (Youth),User Status,Ever,6.4,1.1,4.4,8.5,632,Female,Middle School,"(38.890371385, -77.031961127)",3GEN,1EDU,YTS11,11
2011,AZ,Smokeless Tobacco Use (Youth),User Status,Frequent,0.4,0.1,0.2,0.6,1965,Female,Middle School,"(34.86597028, -111.763811277)",3GEN,1EDU,YTS12,12
2004,WI,Smokeless Tobacco Use (Youth),User Status,Frequent,2.4,0.6,1.2,3.6,1433,Overall,High School,"(44.393191174, -89.816370742)",1GEN,2EDU,YTS12,12
2003,UT,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,,52.0,4.7,42.8,61.1,132,Male,High School,"(39.360700171, -111.587130635)",2GEN,2EDU,YTS05,5
2002,OK,Smokeless Tobacco Use (Youth),User Status,Current,8.0,1.2,5.7,10.4,973,Male,Middle School,"(35.472031356, -97.521070214)",2GEN,1EDU,YTS10,10
